Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
5.16,0.972222,0.968796
5.17,0.972222,0.967973
5.18,0.972222,0.967089
5.19,0.972222,0.967063
5.20,0.972222,0.966747
5.21,0.972222,0.965961
5.22,0.972222,0.966459
5.23,0.972222,0.967428
5.24,0.972222,0.968007
5.25,0.972222,0.968046
5.26,0.972222,0.967613
5.27,0.972222,0.967695
5.28,0.972222,0.967136
5.29,0.972222,0.967160
5.30,0.972222,0.966390
5.31,0.972222,0.966972
5.32,0.972222,0.967566
5.33,0.972222,0.967182
5.34,0.972222,0.967061
5.35,0.972222,0.967760
5.36,0.972222,0.968738
5.37,0.972222,0.968727
5.38,0.972222,0.968547
5.39,0.972222,0.969029
5.40,0.972222,0.968643
5.41,0.972222,0.968749
5.42,0.972222,0.967760
5.43,0.972222,0.968129
5.44,0.972222,0.968085
5.45,0.972222,0.969021
5.46,0.972222,0.969068
5.47,0.972222,0.969366
5.48,0.972222,0.969299
5.49,0.972222,0.969681
5.50,0.972222,0.970110
5.51,0.972222,0.970330
5.52,0.972222,0.970127
5.53,0.972222,0.969540
5.54,0.972222,0.969279
5.55,0.972222,0.969171
5.56,0.972222,0.968750
5.57,0.972222,0.968881
5.58,0.972222,0.969129
5.59,0.972222,0.969967
5.60,0.972222,0.970186
5.61,0.972222,0.970745
5.62,0.972222,0.970311
5.63,0.972222,0.971028
5.64,0.972222,0.971079
5.65,0.972222,0.970993
5.66,0.972222,0.970986
5.67,0.972222,0.970342
5.68,0.972222,0.970433
5.69,0.972222,0.970104
5.70,0.972222,0.970375
5.71,0.972222,0.970233
5.72,0.972222,0.970493
5.73,0.972222,0.969964
5.74,0.972222,0.969800
5.75,0.972222,0.969054
5.76,0.972222,0.968774
5.77,0.972222,0.969009
5.78,0.972222,0.969409
5.79,0.972222,0.969189
5.80,0.972222,0.969726
5.81,0.972222,0.969032
5.82,0.972222,0.968353
5.83,0.972222,0.967912
5.84,0.972222,0.968388
5.85,0.972222,0.968148
5.86,0.972222,0.969021
5.87,0.972222,0.969382
5.88,0.972222,0.970004
5.89,0.972222,0.970071
5.90,0.972222,0.970963
5.91,0.972222,0.970863
5.92,0.972222,0.970812
5.93,0.972222,0.970273
5.94,0.972222,0.970696
5.95,0.972222,0.970538
5.96,0.972222,0.970457
5.97,0.972222,0.970071
5.98,0.972222,0.969151
5.99,0.972222,0.969582
6.00,0.972222,0.970480
6.01,0.972222,0.969362
6.02,0.972222,0.970277
6.03,0.972222,0.970958
6.04,0.972222,0.971510
6.05,0.972222,0.971404
6.06,0.972222,0.971362
6.07,0.972222,0.970525
6.08,0.972222,0.971251
6.09,0.972222,0.970801
6.10,0.972222,0.971787
6.11,0.972222,0.972586
6.12,0.972222,0.973110
6.13,0.972222,0.972581
6.14,0.972222,0.973056
6.15,0.972222,0.972990
6.16,0.972222,0.972614
6.17,0.972222,0.973511
6.18,0.972222,0.973541
6.19,0.972222,0.974143
6.20,0.972222,0.974126
6.21,0.972222,0.974052
6.22,0.972222,0.974218
6.23,0.972222,0.973445
6.24,0.972222,0.973856
6.25,0.972222,0.972857
6.26,0.972222,0.971968
6.27,0.972222,0.971909
6.28,0.972222,0.971815
6.29,0.972222,0.971545
6.30,0.972222,0.970923
6.31,0.972222,0.970504
6.32,0.972222,0.971343
6.33,0.972222,0.971635
6.34,0.972222,0.972078
6.35,0.972222,0.971678
6.36,0.972222,0.971780
6.37,0.972222,0.971914
6.38,0.972222,0.972370
6.39,0.972222,0.972474
6.40,0.972222,0.972428
6.41,0.972222,0.971518
6.42,0.972222,0.972075
6.43,0.972222,0.972312
6.44,0.972222,0.972486
6.45,0.972222,0.973151
6.46,0.972222,0.972863
6.47,0.972222,0.973514
6.48,0.972222,0.974357
6.49,0.972222,0.975472
6.50,0.972222,0.974863
6.51,0.972222,0.974843
6.52,0.972222,0.974983
6.53,0.972222,0.974026
6.54,0.972222,0.973396
6.55,0.972222,0.973330
6.56,0.972222,0.973007
6.57,0.972222,0.972418
6.58,0.972222,0.971766
6.59,0.972222,0.970943
6.60,0.972222,0.970971
6.61,0.972222,0.971661
6.62,0.972222,0.972407
6.63,0.972222,0.972894
6.64,0.972222,0.973015
6.65,0.972222,0.973132
6.66,0.972222,0.973187
6.67,0.972222,0.972405
6.68,0.972222,0.973210
6.69,0.972222,0.972834
6.70,0.972222,0.973512
6.71,0.972222,0.973722
6.72,0.972222,0.973172
6.73,0.972222,0.974268
6.74,0.972222,0.974231
6.75,0.972222,0.973559
6.76,0.972222,0.974164
6.77,0.972222,0.974379
6.78,0.972222,0.974370
6.79,0.972222,0.974524
6.80,0.972222,0.974155
6.81,0.972222,0.975185
6.82,0.972222,0.974500
6.83,0.972222,0.974519
6.84,0.972222,0.974175
6.85,0.972222,0.973038
6.86,0.972222,0.973539
6.87,0.972222,0.973849
6.88,0.972222,0.973978
6.89,0.972222,0.974185
6.90,0.972222,0.974490
6.91,0.972222,0.974793
6.92,0.972222,0.974594
6.93,0.972222,0.974968
6.94,0.972222,0.975583
6.95,0.972222,0.976672
6.96,0.972222,0.976577
6.97,0.972222,0.976258
6.98,0.972222,0.976572
6.99,0.972222,0.976175
7.00,0.972222,0.976200
7.01,0.972222,0.976351
7.02,0.972222,0.976801
